#lossrate=0.0691913289747	payload=3978	ratio=0.552113341267	trialid=2013-11-26 131043.804047	bitrate=24164.6346896	headersize=437
#lossrate=0.565161914052	    payload=1000	ratio=0.302823410597	trialid=2013-11-26 131043.804047	bitrate=22374.2516714	headersize=437
lossrate=0.0320399658945	payload=3978	ratio=0.813921673879	trialid=2013-11-26 160723.761136	bitrate=137960.202503	headersize=437
lossrate=0.0435606247472	payload=1030	ratio=0.671437300113	trialid=2013-11-26 160723.761136	bitrate=128504.910082	headersize=437
lossrate=0.0315507120862	payload=3978	ratio=0.815328321858	trialid=2013-11-26 182644.787794	bitrate=141146.788649	headersize=437
lossrate=0.042984638471	    payload=1030	ratio=0.671807868762	trialid=2013-11-26 182644.787794	bitrate=130650.552726	headersize=437
lossrate=0.0306879455723	payload=3978	ratio=0.817358917604	trialid=2013-11-26 210812.201157	bitrate=140972.486791	headersize=437
lossrate=0.0401798091014	payload=1030	ratio=0.673733447532	trialid=2013-11-26 210812.201157	bitrate=131200.259138	headersize=437
lossrate=0.0316813350647	payload=3978	ratio=0.815005535762	trialid=2013-11-26 214846.080147	bitrate=79694.9625065	headersize=437
lossrate=0.0450681193542	payload=1030	ratio=0.670446716618	trialid=2013-11-26 214846.080147	bitrate=70697.4897265	headersize=437

#beiyou
lossrate=0.0768231962294	payload=3978	ratio=0.692971686023	trialid=2013-11-26 215123.058072	bitrate=66820.0066373	headersize=437
lossrate=0.207640938034	payload=1030	ratio=0.555774750638	trialid=2013-11-26 215123.058072	bitrate=56984.5537333	headersize=437

#not stable
#lossrate=0.128468309572	payload=3978	ratio=0.553611595266	trialid=2013-11-26 231901.362144	bitrate=58388.9897064	headersize=437
#lossrate=0.315825134452	payload=1030	ratio=0.480599628369	trialid=2013-11-26 231901.362144	bitrate=57142.6757557   headersize=437
