#lossrate=0.0135900339751	payload=3978	ratio=0.864737260557	trialid=2013-11-27 175339.960852	bitrate=169616.130842	headersize=437	lossrate2=0.0401761144744
#lossrate=0.0364354697103	payload=1030	ratio=0.677340746588	trialid=2013-11-27 175339.960852	bitrate=124915.449402	headersize=436	lossrate2=0.0359290008589
#e1, e2, lossrate = index_value, lossrate2=chunk_loss_rate
lossrate=0.0048602673147	payload=6900	ratio=0.916455411475	trialid=2013-11-27 204259.173567	bitrate=197850.008278	headersize=438	lossrate2=0.0252858103564
lossrate=0.0258988176627	payload=1030	ratio=0.683961377905	trialid=2013-11-27 204259.173567	bitrate=143867.490123	headersize=437	lossrate2=0.0258468454005

lossrate=0.00385398290134	payload=6900	ratio=0.922160777625	trialid=2013-11-27 205036.500513	bitrate=197533.156167	headersize=438	lossrate2=0.019217756124
lossrate=0.0200267022697	payload=1030	ratio=0.688062246625	trialid=2013-11-27 205036.500513	bitrate=145868.817564	headersize=437	lossrate2=0.0200060563238

lossrate=0.00441136671177	payload=6900	ratio=0.919547366418	trialid=2013-11-27 205956.869590	bitrate=199686.781698	headersize=438	lossrate2=0.0219973009447
lossrate=0.0231882889059	payload=1030	ratio=0.685846933998	trialid=2013-11-27 205956.869590	bitrate=145114.781831	headersize=437	lossrate2=0.0231612838314

lossrate=0.00673886883273	payload=6900	ratio=0.90851279762	trialid=2013-11-27 210753.481601	bitrate=185433.431101	headersize=438	lossrate2=0.0337333333333
lossrate=0.0271312380761	payload=1030	ratio=0.683029326315	trialid=2013-11-27 210753.481601	bitrate=143108.117696	headersize=437	lossrate2=0.0271743486974


lossrate=0.00590841949778	payload=6900	ratio=0.912405728871	trialid=2013-11-27 211644.393044	bitrate=182664.016514	headersize=438	lossrate2=0.029592929834
lossrate=0.0243489819346	payload=1030	ratio=0.685033633165	trialid=2013-11-27 211644.393044	bitrate=144351.483436	headersize=437	lossrate2=0.0243196526912

lossrate=0.00716552088842	payload=5430	ratio=0.898817619802	trialid=2013-11-27 212610.473424	bitrate=177347.051762	headersize=438	lossrate2=0.0285864978903
lossrate=0.0259575751483	payload=1030	ratio=0.683892758065	trialid=2013-11-27 212610.473424	bitrate=136530.170529	headersize=437	lossrate2=0.025944579328

lossrate=0.00680542315433	payload=5430	ratio=0.90014695079	trialid=2013-11-28 082624.099546	bitrate=177373.322456	headersize=438	lossrate2=0.0271497992816
lossrate=0.0264665099174	payload=1030	ratio=0.68350874127	trialid=2013-11-28 082624.099546	bitrate=137534.967165	headersize=437	lossrate2=0.0264915271232

lossrate=0.00634086808872	payload=5430	ratio=0.901766434197	trialid=2013-11-28 083634.652145	bitrate=179137.804088	headersize=438	lossrate2=0.025399513176
lossrate=0.0218866095946	payload=1030	ratio=0.68576413724	trialid=2013-11-28 083634.652145	bitrate=138746.555735	headersize=437	lossrate2=0.0232792096738

lossrate=0.00971495949964	payload=3950	ratio=0.873827703337	trialid=2013-11-28 085216.344611	bitrate=163899.304489	headersize=438	lossrate2=0.029217791411
lossrate=0.0255461238283	payload=1030	ratio=0.684181053957	trialid=2013-11-28 085216.344611	bitrate=131344.424985	headersize=437	lossrate2=0.0255339649912

lossrate=0.00914156587834	payload=3950	ratio=0.875506204555	trialid=2013-11-28 090117.730739	bitrate=166626.751228	headersize=438	lossrate2=0.0273530541683
lossrate=0.0264273799715	payload=1030	ratio=0.683604826534	trialid=2013-11-28 090117.730739	bitrate=129402.650527	headersize=436	lossrate2=0.0270183596569

lossrate=0.00921647155473	payload=3950	ratio=0.875304444015	trialid=2013-11-28 092326.107434	bitrate=162040.445438	headersize=438	lossrate2=0.0275772007989
